,,,,,,,,
agro_1,0.24,4.41,,,,,,
agro_2,0.18,4.23,,,,,,
agro_3,0.20,3.83,,,,,,
agro_4,0.30,3.92,,,,,,
agro_5,0.19,4.46,,,,,,
agro_6,0.28,4.5,,,,,,
agro_7,0.24,4.42,,,,,,
agro_8,0.28,3.62,,,,,,
agro_9,0.12,4.31,,,,,,
agro_10,0.14,4.12,,,,,,
agro_11,0.24,3.85,,,,,,
agro_12,0.20,4.42,,,,,,
agro_13,0.14,4.5,,,,,,
agro_14,0.13,3.96,,,,,,
agro_15,0.28,4.32,,,,,,
agro_16,0.17,4.23,,,,,,
agro_17,0.19,3.94,,,,,,
agro_18,0.16,3.72,,,,,,
agro_19,0.10,4.06,,,,,,
agro_20,0.16,4.56,,,,,,
maysawa_1,,5.67,,,,,,
maysawa_2,,3.89,,,,,,
maysawa_3,,4.78,,,,,,
maysawa_4,,4.51,,,,,,
maysawa_5,,4.51,,,,,,
maysawa_6,,5.69,,,,,,
maysawa_7,,5.37,,,,,,
maysawa_8,,4.26,,,,,,
maysawa_9,,5.18,,,,,,
maysawa_10,,4.8,,,,,,
maysawa_11,,4.81,,,,,,
maysawa_12,,4.48,,,,,,
maysawa_13,,4.77,,,,,,
maysawa_14,,4.84,,,,,,
maysawa_15,,4.09,,,,,,
maysawa_16,,4.4,,,,,,
maysawa_17,,4.24,,,,,,
maysawa_18,,5.12,,,,,,
maysawa_19,,4.49,,,,,,
maysawa_20,,4.37,,,,,,
organic_1,,4.8,,,,,,
organic_2,,4.66,,,,,,
organic_3,,3.74,,,,,,
organic_4,,4.63,,,,,,
organic_5,,3.87,,,,,,
organic_6,,4.49,,,,,,
organic_7,,5.03,,,,,,
organic_8,,4.44,,,,,,
organic_9,,4.95,,,,,,
organic_10,,4.74,,,,,,
organic_11,,5.28,,,,,,
organic_12,,4.15,,,,,,
organic_13,,3.57,,,,,,
organic_14,,3.53,,,,,,
organic_15,,4.37,,,,,,
organic_16,,4.76,,,,,,
organic_17,,4.5,,,,,,
organic_18,,4.46,,,,,,
organic_19,,4.68,,,,,,
organic_20,,4.47,,,,,,
kahoy_1,0.19,4.1,,,,,,
kahoy_2,0.19,4.29,,,,,,
kahoy_3,0.08,4.12,,,,,,
kahoy_4,0.11,4.55,,,,,,
kahoy_5,0.18,3.92,,,,,,
kahoy_6,0.19,4.16,,,,,,
kahoy_7,0.15,4.83,,,,,,
kahoy_8,0.13,4.63,,,,,,
kahoy_9,0.25,4.3,,,,,,
kahoy_10,0.20,4.65,,,,,,
kahoy_11,0.24,4.28,,,,,,
kahoy_12,0.14,4.14,,,,,,
kahoy_13,0.14,4.49,,,,,,
kahoy_14,0.26,4.42,,,,,,
kahoy_15,0.11,4.33,,,,,,
kahoy_16,0.15,4.55,,,,,,
kahoy_17,0.19,4.37,,,,,,
kahoy_18,0.13,4.41,,,,,,
kahoy_19,0.01,4.71,,,,,,
kahoy_20,0.15,4.7,,,,,,
mangga_1,,4.23,,,,,,
mangga_2,,4.33,,,,,,
mangga_3,,5.21,,,,,,
mangga_4,,3.59,,,,,,
mangga_5,,,,,,,,
mangga_6,,3.75,,,,,,
mangga_7,,4.64,,,,,,
mangga_8,,4.91,,,,,,
mangga_9,,3.87,,,,,,
mangga_10,,4.43,,,,,,
mangga_11,,3.75,,,,,,
mangga_12,,3.78,,,,,,
mangga_13,,4.19,,,,,,
mangga_14,,3.83,,,,,,
mangga_15,,3.88,,,,,,
mangga_16,,4.35,,,,,,
mangga_17,,3.69,,,,,,
mangga_18,,4.12,,,,,,
mangga_19,,3.73,,,,,,
mangga_20,,3.98,,,,,,
